 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 41.0783 56.4120  2.5097 41.0783 56.4120  2.5097
899.8549 40.8210 56.6504  2.5286 40.8210 56.6504  2.5286
899.2023 40.5610 56.8913  2.5477 40.5610 56.8913  2.5477
898.5507 40.2983 57.1347  2.5670 40.2983 57.1347  2.5670
897.9001 40.0328 57.3807  2.5865 40.0328 57.3807  2.5865
897.2504 39.7646 57.6291  2.6063 39.7646 57.6291  2.6063
896.6016 39.4936 57.8800  2.6264 39.4936 57.8800  2.6264
895.9538 39.2199 58.1335  2.6467 39.2199 58.1335  2.6467
895.3069 38.9433 58.3894  2.6672 38.9433 58.3894  2.6672
894.6609 38.6640 58.6479  2.6880 38.6640 58.6479  2.6880
894.0159 38.3820 58.9090  2.7091 38.3820 58.9090  2.7091
893.3718 38.0971 59.1725  2.7304 38.0971 59.1725  2.7304
892.7286 37.8095 59.4386  2.7519 37.8095 59.4386  2.7519
892.0863 37.5190 59.7072  2.7738 37.5190 59.7072  2.7738
891.4450 37.2258 59.9784  2.7958 37.2258 59.9784  2.7958
890.8046 36.9298 60.2520  2.8182 36.9298 60.2520  2.8182
890.1651 36.6309 60.5282  2.8408 36.6309 60.5282  2.8408
889.5265 36.3293 60.8070  2.8637 36.3293 60.8070  2.8637
888.8889 36.0249 61.0882  2.8869 36.0249 61.0882  2.8869
888.2521 35.7177 61.3720  2.9103 35.7177 61.3720  2.9103
887.6163 35.4077 61.6582  2.9340 35.4077 61.6582  2.9340
886.9814 35.0950 61.9470  2.9580 35.0950 61.9470  2.9580
886.3474 34.7794 62.2383  2.9823 34.7794 62.2383  2.9823
885.7143 34.4611 62.5320  3.0069 34.4611 62.5320  3.0069
885.0821 34.1400 62.8282  3.0317 34.1400 62.8282  3.0317
884.4508 33.8162 63.1269  3.0569 33.8162 63.1269  3.0569
883.8204 33.4897 63.4280  3.0823 33.4897 63.4280  3.0823
883.1909 33.1604 63.7316  3.1080 33.1604 63.7316  3.1080
882.5623 32.8285 64.0375  3.1340 32.8285 64.0375  3.1340
881.9346 32.4938 64.3458  3.1603 32.4938 64.3458  3.1603
881.3077 32.1565 64.6566  3.1869 32.1565 64.6566  3.1869
880.6818 31.8166 64.9696  3.2138 31.8166 64.9696  3.2138
880.0568 31.4740 65.2850  3.2410 31.4740 65.2850  3.2410
879.4326 31.1288 65.6027  3.2685 31.1288 65.6027  3.2685
878.8094 30.7810 65.9227  3.2963 30.7810 65.9227  3.2963
878.1870 30.4307 66.2449  3.3244 30.4307 66.2449  3.3244
877.5655 30.0779 66.5693  3.3529 30.0779 66.5693  3.3529
876.9448 29.7226 66.8959  3.3816 29.7226 66.8959  3.3816
876.3251 29.3648 67.2246  3.4106 29.3648 67.2246  3.4106
875.7062 29.0046 67.5555  3.4399 29.0046 67.5555  3.4399
875.0882 28.6421 67.8884  3.4696 28.6421 67.8884  3.4696
874.4711 28.2772 68.2233  3.4995 28.2772 68.2233  3.4995
873.8548 27.9100 68.5602  3.5298 27.9100 68.5602  3.5298
873.2394 27.5406 68.8990  3.5604 27.5406 68.8990  3.5604
872.6249 27.1690 69.2398  3.5912 27.1690 69.2398  3.5912
872.0113 26.7952 69.5823  3.6224 26.7952 69.5823  3.6224
871.3985 26.4194 69.9267  3.6539 26.4194 69.9267  3.6539
870.7865 26.0415 70.2727  3.6858 26.0415 70.2727  3.6858
870.1754 25.6617 70.6204  3.7179 25.6617 70.6204  3.7179
869.5652 25.2800 70.9697  3.7503 25.2800 70.9697  3.7503
868.9559 24.8964 71.3205  3.7830 24.8964 71.3205  3.7830
868.3473 24.5111 71.6728  3.8161 24.5111 71.6728  3.8161
867.7397 24.1241 72.0265  3.8494 24.1241 72.0265  3.8494
867.1329 23.7354 72.3815  3.8831 23.7354 72.3815  3.8831
866.5269 23.3452 72.7377  3.9170 23.3452 72.7377  3.9170
865.9218 22.9536 73.0951  3.9513 22.9536 73.0951  3.9513
865.3175 22.5606 73.4536  3.9858 22.5606 73.4536  3.9858
864.7141 22.1663 73.8130  4.0207 22.1663 73.8130  4.0207
864.1115 21.7709 74.1733  4.0558 21.7709 74.1733  4.0558
863.5097 21.3743 74.5344  4.0913 21.3743 74.5344  4.0913
862.9088 20.9768 74.8962  4.1270 20.9768 74.8962  4.1270
862.3088 20.5784 75.2586  4.1630 20.5784 75.2586  4.1630
861.7095 20.1792 75.6215  4.1992 20.1792 75.6215  4.1992
861.1111 19.7794 75.9848  4.2358 19.7794 75.9848  4.2358
860.5135 19.3790 76.3483  4.2726 19.3790 76.3483  4.2726
859.9168 18.9783 76.7120  4.3097 18.9783 76.7120  4.3097
859.3209 18.5772 77.0757  4.3471 18.5772 77.0757  4.3471
858.7258 18.1760 77.4393  4.3847 18.1760 77.4393  4.3847
