 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 25.6190 70.6103  3.7707 25.6190 70.6103  3.7707
899.8549 25.3321 70.8703  3.7976 25.3321 70.8703  3.7976
899.2023 25.0438 71.1315  3.8247 25.0438 71.1315  3.8247
898.5507 24.7542 71.3938  3.8520 24.7542 71.3938  3.8520
897.9001 24.4633 71.6572  3.8795 24.4633 71.6572  3.8795
897.2504 24.1711 71.9218  3.9071 24.1711 71.9218  3.9071
896.6016 23.8777 72.1873  3.9350 23.8777 72.1873  3.9350
895.9538 23.5830 72.4539  3.9631 23.5830 72.4539  3.9631
895.3069 23.2872 72.7214  3.9913 23.2872 72.7214  3.9913
894.6609 22.9903 72.9899  4.0198 22.9903 72.9899  4.0198
894.0159 22.6923 73.2592  4.0484 22.6923 73.2592  4.0484
893.3718 22.3933 73.5295  4.0773 22.3933 73.5295  4.0773
892.7286 22.0932 73.8005  4.1063 22.0932 73.8005  4.1063
892.0863 21.7922 74.0722  4.1355 21.7922 74.0722  4.1355
891.4450 21.4903 74.3447  4.1649 21.4903 74.3447  4.1649
890.8046 21.1876 74.6179  4.1945 21.1876 74.6179  4.1945
890.1651 20.8840 74.8917  4.2243 20.8840 74.8917  4.2243
889.5265 20.5797 75.1660  4.2542 20.5797 75.1660  4.2542
888.8889 20.2747 75.4409  4.2844 20.2747 75.4409  4.2844
888.2521 19.9691 75.7163  4.3147 19.9691 75.7163  4.3147
887.6163 19.6628 75.9920  4.3451 19.6628 75.9920  4.3451
886.9814 19.3561 76.2681  4.3758 19.3561 76.2681  4.3758
886.3474 19.0488 76.5446  4.4066 19.0488 76.5446  4.4066
885.7143 18.7412 76.8212  4.4376 18.7412 76.8212  4.4376
885.0821 18.4332 77.0981  4.4687 18.4332 77.0981  4.4687
884.4508 18.1249 77.3751  4.5000 18.1249 77.3751  4.5000
883.8204 17.8164 77.6521  4.5315 17.8164 77.6521  4.5315
883.1909 17.5078 77.9291  4.5631 17.5078 77.9291  4.5631
882.5623 17.1991 78.2061  4.5948 17.1991 78.2061  4.5948
881.9346 16.8904 78.4829  4.6267 16.8904 78.4829  4.6267
881.3077 16.5817 78.7595  4.6587 16.5817 78.7595  4.6587
880.6818 16.2732 79.0359  4.6909 16.2732 79.0359  4.6909
880.0568 15.9649 79.3119  4.7232 15.9649 79.3119  4.7232
879.4326 15.6569 79.5875  4.7557 15.6569 79.5875  4.7557
878.8094 15.3492 79.8625  4.7882 15.3492 79.8625  4.7882
878.1870 15.0421 80.1371  4.8209 15.0421 80.1371  4.8209
877.5655 14.7354 80.4109  4.8537 14.7354 80.4109  4.8537
876.9448 14.4294 80.6840  4.8866 14.4294 80.6840  4.8866
876.3251 14.1240 80.9564  4.9196 14.1240 80.9564  4.9196
875.7062 13.8195 81.2278  4.9527 13.8195 81.2278  4.9527
875.0882 13.5159 81.4982  4.9859 13.5159 81.4982  4.9859
874.4711 13.2132 81.7676  5.0192 13.2132 81.7676  5.0192
873.8548 12.9116 82.0358  5.0526 12.9116 82.0358  5.0526
873.2394 12.6111 82.3028  5.0860 12.6111 82.3028  5.0860
872.6249 12.3119 82.5685  5.1195 12.3119 82.5685  5.1195
872.0113 12.0141 82.8328  5.1531 12.0141 82.8328  5.1531
871.3985 11.7177 83.0955  5.1868 11.7177 83.0955  5.1868
870.7865 11.4229 83.3567  5.2205 11.4229 83.3567  5.2205
870.1754 11.1297 83.6161  5.2542 11.1297 83.6161  5.2542
869.5652 10.8382 83.8738  5.2880 10.8382 83.8738  5.2880
868.9559 10.5487 84.1295  5.3218 10.5487 84.1295  5.3218
868.3473 10.2610 84.3833  5.3556 10.2610 84.3833  5.3556
867.7397  9.9755 84.6350  5.3895  9.9755 84.6350  5.3895
867.1329  9.6921 84.8845  5.4234  9.6921 84.8845  5.4234
866.5269  9.4110 85.1318  5.4572  9.4110 85.1318  5.4572
865.9218  9.1323 85.3766  5.4911  9.1323 85.3766  5.4911
865.3175  8.8561 85.6189  5.5249  8.8561 85.6189  5.5249
864.7141  8.5825 85.8587  5.5588  8.5825 85.8587  5.5588
864.1115  8.3117 86.0958  5.5926  8.3117 86.0958  5.5926
863.5097  8.0437 86.3300  5.6263  8.0437 86.3300  5.6263
862.9088  7.7786 86.5613  5.6600  7.7786 86.5613  5.6600
862.3088  7.5166 86.7897  5.6937  7.5166 86.7897  5.6937
861.7095  7.2578 87.0149  5.7273  7.2578 87.0149  5.7273
861.1111  7.0023 87.2369  5.7608  7.0023 87.2369  5.7608
860.5135  6.7502 87.4555  5.7943  6.7502 87.4555  5.7943
859.9168  6.5016 87.6707  5.8276  6.5016 87.6707  5.8276
