 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 27.0999 69.1338  3.7662 27.0999 69.1338  3.7662
899.8549 26.7827 69.4213  3.7961 26.7827 69.4213  3.7961
899.2023 26.4636 69.7103  3.8262 26.4636 69.7103  3.8262
898.5507 26.1428 70.0007  3.8565 26.1428 70.0007  3.8565
897.9001 25.8202 70.2927  3.8871 25.8202 70.2927  3.8871
897.2504 25.4960 70.5860  3.9179 25.4960 70.5860  3.9179
896.6016 25.1702 70.8808  3.9490 25.1702 70.8808  3.9490
895.9538 24.8427 71.1769  3.9804 24.8427 71.1769  3.9804
895.3069 24.5138 71.4743  4.0119 24.5138 71.4743  4.0119
894.6609 24.1833 71.7730  4.0438 24.1833 71.7730  4.0438
894.0159 23.8513 72.0728  4.0758 23.8513 72.0728  4.0758
893.3718 23.5180 72.3739  4.1082 23.5180 72.3739  4.1082
892.7286 23.1832 72.6760  4.1407 23.1832 72.6760  4.1407
892.0863 22.8472 72.9792  4.1735 22.8472 72.9792  4.1735
891.4450 22.5099 73.2835  4.2066 22.5099 73.2835  4.2066
890.8046 22.1715 73.5887  4.2399 22.1715 73.5887  4.2399
890.1651 21.8319 73.8947  4.2734 21.8319 73.8947  4.2734
889.5265 21.4912 74.2017  4.3071 21.4912 74.2017  4.3071
888.8889 21.1496 74.5094  4.3411 21.1496 74.5094  4.3411
888.2521 20.8069 74.8178  4.3753 20.8069 74.8178  4.3753
887.6163 20.4635 75.1269  4.4097 20.4635 75.1269  4.4097
886.9814 20.1192 75.4365  4.4443 20.1192 75.4365  4.4443
886.3474 19.7741 75.7467  4.4792 19.7741 75.7467  4.4792
885.7143 19.4284 76.0573  4.5143 19.4284 76.0573  4.5143
885.0821 19.0822 76.3683  4.5495 19.0822 76.3683  4.5495
884.4508 18.7354 76.6796  4.5850 18.7354 76.6796  4.5850
883.8204 18.3882 76.9911  4.6207 18.3882 76.9911  4.6207
883.1909 18.0407 77.3027  4.6566 18.0407 77.3027  4.6566
882.5623 17.6930 77.6144  4.6927 17.6930 77.6144  4.6927
881.9346 17.3450 77.9260  4.7289 17.3450 77.9260  4.7289
881.3077 16.9970 78.2376  4.7654 16.9970 78.2376  4.7654
880.6818 16.6491 78.5489  4.8020 16.6491 78.5489  4.8020
880.0568 16.3012 78.8600  4.8388 16.3012 78.8600  4.8388
879.4326 15.9536 79.1706  4.8758 15.9536 79.1706  4.8758
878.8094 15.6063 79.4808  4.9129 15.6063 79.4808  4.9129
878.1870 15.2594 79.7904  4.9502 15.2594 79.7904  4.9502
877.5655 14.9131 80.0993  4.9876 14.9131 80.0993  4.9876
876.9448 14.5674 80.4075  5.0251 14.5674 80.4075  5.0251
876.3251 14.2224 80.7147  5.0628 14.2224 80.7147  5.0628
875.7062 13.8783 81.0210  5.1007 13.8783 81.0210  5.1007
875.0882 13.5352 81.3261  5.1386 13.5352 81.3261  5.1386
874.4711 13.1932 81.6301  5.1767 13.1932 81.6301  5.1767
873.8548 12.8525 81.9327  5.2148 12.8525 81.9327  5.2148
873.2394 12.5130 82.2339  5.2531 12.5130 82.2339  5.2531
872.6249 12.1750 82.5335  5.2915 12.1750 82.5335  5.2915
872.0113 11.8387 82.8314  5.3299 11.8387 82.8314  5.3299
871.3985 11.5040 83.1276  5.3684 11.5040 83.1276  5.3684
870.7865 11.1712 83.4218  5.4070 11.1712 83.4218  5.4070
870.1754 10.8404 83.7140  5.4456 10.8404 83.7140  5.4456
869.5652 10.5118 84.0040  5.4842 10.5118 84.0040  5.4842
868.9559 10.1854 84.2917  5.5229 10.1854 84.2917  5.5229
868.3473  9.8614 84.5770  5.5616  9.8614 84.5770  5.5616
867.7397  9.5399 84.8597  5.6004  9.5399 84.8597  5.6004
867.1329  9.2212 85.1398  5.6391  9.2212 85.1398  5.6391
866.5269  8.9052 85.4170  5.6778  8.9052 85.4170  5.6778
865.9218  8.5923 85.6912  5.7165  8.5923 85.6912  5.7165
865.3175  8.2825 85.9623  5.7552  8.2825 85.9623  5.7552
864.7141  7.9760 86.2302  5.7938  7.9760 86.2302  5.7938
864.1115  7.6729 86.4947  5.8324  7.6729 86.4947  5.8324
863.5097  7.3734 86.7557  5.8709  7.3734 86.7557  5.8709
862.9088  7.0776 87.0130  5.9093  7.0776 87.0130  5.9093
862.3088  6.7858 87.2666  5.9477  6.7858 87.2666  5.9477
