% Model:              sheets _with_NP_V3.mph
% Version:            COMSOL 5.3.0.316
% Date:               Apr 14 2021, 14:10
% Table:              h0=1nm - Global Evaluation 7 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
300                                               15.726805303714666                                23.207216981941745
302.99999999999994                                16.628371187242703                                22.739229993648557
306                                               17.687505565084592                                22.816288191081654
309                                               18.80983270659946                                 23.30750234433952
312                                               19.87461278275113                                 24.029208830479373
314.99999999999994                                20.724043935749737                                24.764379850121994
318                                               21.19155075717875                                 25.315192816547064
321                                               21.16261337586611                                 25.57268388252988
324                                               20.626393497218295                                25.554287620525994
326.99999999999994                                19.678441313055174                                25.378245503934476
330                                               18.4795011353476                                  25.198736779571615
333                                               17.208693770980634                                25.149538952429594
336                                               16.035241213404625                                25.316862935226055
338.99999999999994                                15.107989164435379                                25.734495891829287
342                                               14.549001145019366                                26.386879956151116
345                                               14.438104288628729                                27.212152814352976
348                                               14.792878133907323                                28.09626879547615
350.99999999999994                                15.553535456953425                                28.893010100459346
354                                               16.546524604994858                                29.465532195285075
357                                               17.5171420623081                                  29.711049286775143
360                                               18.20031433757656                                 29.59465821167447
362.99999999999994                                18.3982864802697                                  29.160546336734946
366                                               18.032011587759012                                28.524967350753695
369                                               17.178011946907304                                27.814437694934945
372                                               15.964025696613819                                27.142484943942463
374.99999999999994                                14.617005237350181                                26.635203166132726
378                                               13.349926912439813                                26.301223842584836
381                                               12.3918591757595                                  26.221240143124845
384                                               11.9173680632122                                  26.309866141807372
386.99999999999994                                12.123301070879771                                26.54500302122668
390                                               13.004071512591317                                26.783402911825103
393                                               14.588080173523151                                26.79038137917494
395.99999999999994                                16.542752313844833                                26.44238140171752
398.99999999999994                                18.425298711118216                                25.507803363587037
402                                               19.8555431467207                                  23.98038274115448
405                                               20.412622524623096                                22.099095635156107
407.99999999999994                                19.978914048638952                                20.077224962468712
410.99999999999994                                18.864091964920572                                18.1697462164557
414                                               17.27489752907786                                 16.649363852126587
417                                               15.384609101508795                                15.5887093611095
419.99999999999994                                13.554901886945162                                14.964312053155137
422.99999999999994                                12.165721702510018                                14.813482306798011
426                                               11.55850955397264                                 14.988758297845699
429                                               12.405409387072176                                14.98121283257235
431.99999999999994                                15.232344362807762                                13.869014935372844
434.99999999999994                                18.841845916844168                                11.100854272891192
438                                               20.811537972626525                                7.554502038420988
441                                               20.349237788561865                                4.627172009827728
443.99999999999994                                18.50132882087187                                 2.7347783794304856
446.99999999999994                                16.246773094526016                                1.6340227536069762
450                                               13.884394491052479                                1.0039530859961119
453                                               11.497688227210382                                0.6331206530047963
455.99999999999994                                9.433725095439922                                 0.4090239440397422
458.99999999999994                                7.7245617167641205                                0.27217729535532065
462                                               6.210020007075488                                 0.18587743472539095
465                                               4.853943562727985                                 0.12968664163213325
467.99999999999994                                3.650908592713865                                 0.09214086456529577
470.99999999999994                                2.590803420118693                                 0.0664428155061377
