% Model:              sheets _with_NP_V2.mph
% Version:            COMSOL 5.3.0.316
% Date:               Apr 14 2021, 14:09
% Table:              h0=1nm - Global Evaluation 6 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
300                                               10.549313132055955                                31.522387420763636
302.99999999999994                                11.360118462295507                                31.18742454971174
306                                               12.415445035273114                                31.460704033629188
309                                               13.59521344751487                                 32.18040831154904
312                                               14.74255251850767                                 33.12272298907472
314.99999999999994                                15.661437416993195                                34.0420212846294
318                                               16.156379762696695                                34.73734914362242
321                                               16.098944252466975                                35.11748727466734
324                                               15.476891371263118                                35.221868043207195
326.99999999999994                                14.39379094513917                                 35.18177121861194
330                                               13.026782932895879                                35.1563546314212
333                                               11.574984855390943                                35.282262360954846
336                                               10.232512515170523                                35.62027986325135
338.99999999999994                                9.206949335981808                                 36.15671688699584
342                                               8.646933673040873                                 36.861978133990505
345                                               8.631948661706897                                 37.65580082708639
348                                               9.157872637023129                                 38.419863945164806
350.99999999999994                                10.119666723935987                                39.01018263797809
354                                               11.291019304049346                                39.329306510070744
357                                               12.422314839890129                                39.33233154657985
360                                               13.25096138717862                                 38.95002455825631
362.99999999999994                                13.566156740951172                                38.38264298226854
366                                               13.3162605907479                                  37.57787610617519
369                                               12.555763536433806                                36.837191032524125
372                                               11.33377030082522                                 36.137123848263705
374.99999999999994                                10.02380165357518                                 35.58292734158923
378                                               8.661023739821115                                 35.35430642897782
381                                               7.576976308373809                                 35.19163589560349
384                                               7.058032155779019                                 35.258892126336406
386.99999999999994                                7.124058910181811                                 35.48771181711633
390                                               7.970740868271643                                 35.48442769232668
393                                               9.639940870002334                                 35.178442033572914
395.99999999999994                                11.751842807404214                                34.48904047640099
398.99999999999994                                13.883889242228179                                33.196205141847834
402                                               15.707905092000098                                31.176791592541083
405                                               16.870518316490326                                28.85922257349252
407.99999999999994                                17.08278202158422                                 26.555908727909454
410.99999999999994                                16.3015170402546                                  24.483539799647485
414                                               14.78578048606943                                 22.67612646424184
417                                               13.009626218821843                                21.415772886817113
419.99999999999994                                11.007987415854737                                20.80273590479576
422.99999999999994                                9.039192185665462                                 20.73371173645945
426                                               7.6611331809924685                                20.85819503449219
429                                               8.100036462606699                                 20.46033816270544
431.99999999999994                                11.166908150203588                                18.629247777294353
434.99999999999994                                16.037980136345176                                14.804326831094702
438                                               20.154704204597195                                10.169859306594839
441                                               21.83328167526224                                 6.344920090301373
443.99999999999994                                21.635853549571245                                3.8154649542814147
446.99999999999994                                20.602096486938763                                2.3149767172274
450                                               19.134176895085496                                1.4415785447814202
453                                               17.213192325942583                                0.9208858924264091
455.99999999999994                                14.886625970682585                                0.5959622315297941
458.99999999999994                                13.028596782908902                                0.394010734750842
462                                               11.61159492672349                                 0.26812956692675166
465                                               10.366328423776897                                0.18672361182548988
467.99999999999994                                9.219626399927236                                 0.1324341653407905
470.99999999999994                                8.16345424635162                                  0.09538325697315855
474                                               7.204065924642826                                 0.06963010888944875
477                                               6.344294566586599                                 0.051444988859056
480                                               5.561736051516587                                 0.03839214997996351
483                                               4.784849689721559                                 0.02880993371828821
485.99999999999994                                4.084230297147609                                 0.02175785243115979
488.99999999999994                                3.510170127625458                                 0.016568749106088264
491.99999999999994                                3.040795164140382                                 0.012707910769393718
494.99999999999994                                2.6652443359506757                                0.00980896080332848
498                                               2.3881758598999108                                0.007617900623993
501                                               2.2050668690487196                                0.00593954938165185
504                                               2.054024541263089                                 0.004628213452322209
507                                               1.930345541252452                                 0.003614123022323845
509.99999999999994                                1.8653729266402415                                0.002835091595471551
512.9999999999999                                 1.8587018231846286                                0.0022337028933432524
516                                               1.9006553123189984                                0.0017678856902509435
519                                               1.9887739647075284                                0.0014069041089184201
522                                               2.1538651924172383                                0.0011251336436049805
525                                               2.4351826812013906                                8.987206416063643E-4
528                                               2.7673231481421423                                7.168362797610254E-4
531                                               3.102924606090012                                 5.744799452653904E-4
533.9999999999999                                 3.444420109164227                                 4.638989999007972E-4
536.9999999999999                                 3.7884650120709775                                3.781310444788714E-4
540                                               4.111870351962574                                 3.1200248834526817E-4
543                                               4.39576069868491                                  2.6114865875485687E-4
546                                               4.746164093868185                                 2.2020116778791567E-4
549                                               5.367425031966113                                 1.8500896897471873E-4
552                                               6.167564994978629                                 1.5658442373408016E-4
555                                               6.977848944571161                                 1.3530948522335427E-4
557.9999999999999                                 7.751010560863978                                 1.1976681876773274E-4
560.9999999999999                                 8.461351009611738                                 1.0852973385187817E-4
