 lambda      Rs      Ts      As      Rp      Tp      Ap
900.5084 70.9548 20.8765  8.1687 70.9548 20.8765  8.1687
899.8549 70.5090 21.2405  8.2505 70.5090 21.2405  8.2505
899.2023 70.0541 21.6123  8.3336 70.0541 21.6123  8.3336
898.5507 69.5899 21.9921  8.4181 69.5899 21.9921  8.4181
897.9001 69.1162 22.3800  8.5038 69.1162 22.3800  8.5038
897.2504 68.6328 22.7762  8.5909 68.6328 22.7762  8.5909
896.6016 68.1396 23.1810  8.6794 68.1396 23.1810  8.6794
895.9538 67.6364 23.5944  8.7692 67.6364 23.5944  8.7692
895.3069 67.1229 24.0167  8.8604 67.1229 24.0167  8.8604
894.6609 66.5991 24.4480  8.9530 66.5991 24.4480  8.9530
894.0159 66.0646 24.8885  9.0470 66.0646 24.8885  9.0470
893.3718 65.5193 25.3383  9.1424 65.5193 25.3383  9.1424
892.7286 64.9630 25.7978  9.2392 64.9630 25.7978  9.2392
892.0863 64.3956 26.2669  9.3375 64.3956 26.2669  9.3375
891.4450 63.8168 26.7460  9.4373 63.8168 26.7460  9.4373
890.8046 63.2264 27.2351  9.5385 63.2264 27.2351  9.5385
890.1651 62.6243 27.7345  9.6411 62.6243 27.7345  9.6411
889.5265 62.0103 28.2444  9.7453 62.0103 28.2444  9.7453
888.8889 61.3843 28.7648  9.8509 61.3843 28.7648  9.8509
888.2521 60.7460 29.2960  9.9580 60.7460 29.2960  9.9580
887.6163 60.0953 29.8382 10.0665 60.0953 29.8382 10.0665
886.9814 59.4320 30.3914 10.1766 59.4320 30.3914 10.1766
886.3474 58.7560 30.9559 10.2881 58.7560 30.9559 10.2881
885.7143 58.0671 31.5318 10.4011 58.0671 31.5318 10.4011
885.0821 57.3653 32.1192 10.5155 57.3653 32.1192 10.5155
884.4508 56.6503 32.7183 10.6314 56.6503 32.7183 10.6314
883.8204 55.9222 33.3292 10.7487 55.9222 33.3292 10.7487
883.1909 55.1807 33.9519 10.8674 55.1807 33.9519 10.8674
882.5623 54.4258 34.5867 10.9875 54.4258 34.5867 10.9875
881.9346 53.6574 35.2336 11.1090 53.6574 35.2336 11.1090
881.3077 52.8755 35.8927 11.2318 52.8755 35.8927 11.2318
880.6818 52.0801 36.5640 11.3559 52.0801 36.5640 11.3559
880.0568 51.2710 37.2476 11.4813 51.2710 37.2476 11.4813
879.4326 50.4485 37.9436 11.6080 50.4485 37.9436 11.6080
878.8094 49.6124 38.6519 11.7358 49.6124 38.6519 11.7358
878.1870 48.7628 39.3725 11.8647 48.7628 39.3725 11.8647
877.5655 47.8998 40.1054 11.9947 47.8998 40.1054 11.9947
876.9448 47.0236 40.8507 12.1258 47.0236 40.8507 12.1258
876.3251 46.1342 41.6080 12.2578 46.1342 41.6080 12.2578
875.7062 45.2318 42.3775 12.3907 45.2318 42.3775 12.3907
875.0882 44.3167 43.1589 12.5243 44.3167 43.1589 12.5243
874.4711 43.3891 43.9521 12.6587 43.3891 43.9521 12.6587
873.8548 42.4493 44.7569 12.7938 42.4493 44.7569 12.7938
873.2394 41.4976 45.5731 12.9293 41.4976 45.5731 12.9293
872.6249 40.5344 46.4004 13.0653 40.5344 46.4004 13.0653
872.0113 39.5601 47.2384 13.2015 39.5601 47.2384 13.2015
871.3985 38.5751 48.0869 13.3380 38.5751 48.0869 13.3380
870.7865 37.5800 48.9455 13.4745 37.5800 48.9455 13.4745
870.1754 36.5754 49.8136 13.6109 36.5754 49.8136 13.6109
869.5652 35.5619 50.6910 13.7471 35.5619 50.6910 13.7471
868.9559 34.5401 51.5769 13.8830 34.5401 51.5769 13.8830
868.3473 33.5108 52.4709 14.0183 33.5108 52.4709 14.0183
867.7397 32.4748 53.3724 14.1529 32.4748 53.3724 14.1529
867.1329 31.4329 54.2806 14.2866 31.4329 54.2806 14.2866
866.5269 30.3860 55.1948 14.4192 30.3860 55.1948 14.4192
865.9218 29.3352 56.1142 14.5506 29.3352 56.1142 14.5506
865.3175 28.2815 57.0380 14.6805 28.2815 57.0380 14.6805
864.7141 27.2259 57.9653 14.8087 27.2259 57.9653 14.8087
864.1115 26.1697 58.8952 14.9351 26.1697 58.8952 14.9351
863.5097 25.1141 59.8265 15.0593 25.1141 59.8265 15.0593
862.9088 24.0604 60.7584 15.1813 24.0604 60.7584 15.1813
862.3088 23.0099 61.6895 15.3006 23.0099 61.6895 15.3006
861.7095 21.9640 62.6189 15.4171 21.9640 62.6189 15.4171
861.1111 20.9242 63.5451 15.5306 20.9242 63.5451 15.5306
860.5135 19.8921 64.4670 15.6408 19.8921 64.4670 15.6408
859.9168 18.8692 65.3833 15.7475 18.8692 65.3833 15.7475
859.3209 17.8571 66.2925 15.8503 17.8571 66.2925 15.8503
858.7258 16.8576 67.1933 15.9491 16.8576 67.1933 15.9491
858.1315 15.8722 68.0842 16.0436 15.8722 68.0842 16.0436
857.5380 14.9027 68.9638 16.1335 14.9027 68.9638 16.1335
856.9454 13.9509 69.8304 16.2186 13.9509 69.8304 16.2186
856.3536 13.0186 70.6827 16.2987 13.0186 70.6827 16.2987
855.7626 12.1074 71.5191 16.3735 12.1074 71.5191 16.3735
855.1724 11.2193 72.3379 16.4428 11.2193 72.3379 16.4428
854.5830 10.3560 73.1377 16.5063 10.3560 73.1377 16.5063
853.9945  9.5192 73.9169 16.5638  9.5192 73.9169 16.5638
853.4067  8.7108 74.6740 16.6152  8.7108 74.6740 16.6152
852.8198  7.9323 75.4075 16.6602  7.9323 75.4075 16.6602
852.2337  7.1855 76.1158 16.6987  7.1855 76.1158 16.6987
851.6484  6.4720 76.7976 16.7304  6.4720 76.7976 16.7304
851.0638  5.7934 77.4513 16.7553  5.7934 77.4513 16.7553
850.4801  5.1511 78.0757 16.7732  5.1511 78.0757 16.7732
849.8972  4.5465 78.6695 16.7840  4.5465 78.6695 16.7840
849.3151  3.9810 79.2315 16.7875  3.9810 79.2315 16.7875
848.7337  3.4558 79.7604 16.7838  3.4558 79.7604 16.7838
848.1532  2.9720 80.2552 16.7727  2.9720 80.2552 16.7727
847.5735  2.5307 80.7150 16.7543  2.5307 80.7150 16.7543
846.9945  2.1326 81.1389 16.7285  2.1326 81.1389 16.7285
846.4164  1.7787 81.5260 16.6953  1.7787 81.5260 16.6953
845.8390  1.4696 81.8757 16.6547  1.4696 81.8757 16.6547
845.2624  1.2057 82.1875 16.6069  1.2057 82.1875 16.6069
844.6866  0.9874 82.4608 16.5518  0.9874 82.4608 16.5518
844.1116  0.8151 82.6954 16.4896  0.8151 82.6954 16.4896
843.5374  0.6887 82.8909 16.4204  0.6887 82.8909 16.4204
842.9640  0.6084 83.0474 16.3443  0.6084 83.0474 16.3443
842.3913  0.5738 83.1647 16.2615  0.5738 83.1647 16.2615
841.8194  0.5848 83.2431 16.1721  0.5848 83.2431 16.1721
841.2483  0.6408 83.2828 16.0764  0.6408 83.2828 16.0764
840.6780  0.7415 83.2840 15.9746  0.7415 83.2840 15.9746
840.1084  0.8859 83.2473 15.8668  0.8859 83.2473 15.8668
839.5396  1.0735 83.1732 15.7533  1.0735 83.1732 15.7533
838.9716  1.3032 83.0624 15.6345  1.3032 83.0624 15.6345
838.4043  1.5740 82.9155 15.5104  1.5740 82.9155 15.5104
837.8378  1.8850 82.7336 15.3815  1.8850 82.7336 15.3815
837.2721  2.2347 82.5173 15.2479  2.2347 82.5173 15.2479
836.7072  2.6221 82.2679 15.1100  2.6221 82.2679 15.1100
836.1430  3.0458 81.9862 14.9680  3.0458 81.9862 14.9680
835.5795  3.5043 81.6734 14.8223  3.5043 81.6734 14.8223
835.0168  3.9961 81.3307 14.6731  3.9961 81.3307 14.6731
834.4549  4.5199 80.9593 14.5208  4.5199 80.9593 14.5208
833.8937  5.0740 80.5604 14.3655  5.0740 80.5604 14.3655
833.3333  5.6569 80.1354 14.2077  5.6569 80.1354 14.2077
