% Model:              fp_sheets _with_NP_V5-ch-fgk17.mph
% Version:            COMSOL 5.3.0.316
% Date:               Jun 18 2021, 21:18
% Table:              L=1000 hf=200 Ag first R=20 h=6 a=3R - Global Evaluation 10 (Rs, Ts)
% lambda0 (nm)                                    Rs (1)                                            Ts (1)
300                                               21.797404594069352                                0.10753183722410391
304                                               20.331170328142623                                0.17342086240184307
307.99999999999994                                20.62732066740141                                 0.28932018332616366
312                                               23.529675222795003                                0.457982010410124
316                                               29.026479370495707                                0.6472974761456358
319.99999999999994                                35.51744446972896                                 0.820055710704437
324                                               41.225442717824066                                0.9807164211593387
328                                               45.44436305475854                                 1.1620729601383637
331.99999999999994                                48.361178637200936                                1.3909570563183575
336                                               50.74461876441385                                 1.6640083876172023
340                                               53.733994774698665                                1.927888600101654
343.99999999999994                                58.10188474382232                                 2.097284737469772
348                                               63.387371879770626                                2.134492408398187
352                                               68.38080851016107                                 2.0887580750436445
355.99999999999994                                72.24283949653038                                 2.033869182894434
360                                               74.83021129360891                                 2.009694306539363
364                                               76.35603579019359                                 2.0204779112676277
367.99999999999994                                77.14773811742354                                 2.055436457966099
372                                               77.57624784655539                                 2.0936690375821545
376                                               77.9915549016786                                  2.111673356705018
379.99999999999994                                78.6203608037292                                  2.099478132736788
384                                               79.56540759797724                                 2.05442244474948
388                                               80.77930627143355                                 1.980272533688421
391.99999999999994                                82.145816277018                                   1.886217599318024
395.99999999999994                                83.64120921076767                                 1.7852589515798742
400                                               85.23480698173879                                 1.6814345954576424
403.99999999999994                                86.84849689587664                                 1.5767483600863734
407.99999999999994                                88.34534885543795                                 1.4715800478259824
412                                               89.56744980874419                                 1.3623178140822436
415.99999999999994                                90.30621992851013                                 1.263712875633222
419.99999999999994                                90.34428999619723                                 1.1743247129035908
424                                               89.62023365168332                                 1.08134061998668
427.99999999999994                                88.36275136237968                                 0.9668687506004967
431.99999999999994                                87.22998871701898                                 0.8139613497652741
436                                               87.05368049155871                                 0.6229339768062074
439.99999999999994                                87.83084685333455                                 0.4476211496776737
443.99999999999994                                89.1963709965928                                  0.312491023586413
448                                               90.66517310046991                                 0.21804418271534062
451.99999999999994                                91.91449711871859                                 0.15609768080861253
455.99999999999994                                92.81732895562233                                 0.11630747865205776
460                                               93.31916168519132                                 0.09025198373227207
463.99999999999994                                93.48730251731277                                 0.07306413510461175
467.99999999999994                                93.33396116012486                                 0.06102753684115801
472                                               92.91271552690499                                 0.05153854354808581
475.99999999999994                                92.37760052261102                                 0.042836852734111516
480                                               91.98137228268197                                 0.03412588301048092
484                                               91.94705965328225                                 0.025711301676723163
487.99999999999994                                92.30489463671016                                 0.01846915724844806
491.99999999999994                                92.90725275101683                                 0.012942854597518857
495.99999999999994                                93.57716213024649                                 0.009075396795750564
500                                               94.20074106033405                                 0.006490764320816035
504                                               94.75897890649763                                 0.0047178013493475845
508                                               95.21006401469307                                 0.0035291791972411365
511.99999999999994                                95.54042780200088                                 0.0027452077083370595
516                                               95.76727444519449                                 0.002193380657199669
519.9999999999999                                 95.89313064206074                                 0.0017816050586129913
523.9999999999999                                 95.92322386146108                                 0.0014503921576955563
528                                               95.87622279868155                                 0.0011640940929733053
532                                               95.7912147833627                                  9.097948214855179E-4
536                                               95.71548335515993                                 6.929965691250137E-4
540                                               95.68555651163871                                 5.266522811690764E-4
543.9999999999999                                 95.70999423625967                                 4.1296900174067874E-4
547.9999999999999                                 95.689453223089                                   3.135147949331E-4
552                                               95.67164334198517                                 2.5712028797236476E-4
556                                               95.64961617385025                                 2.3318270835136649E-4
560                                               95.60641852634747                                 2.3230734975554049E-4
564                                               95.54710759104093                                 2.5235096604776965E-4
567.9999999999999                                 95.49714336079629                                 2.9353722050195086E-4
571.9999999999999                                 95.5085903427826                                  3.550777259592505E-4
576                                               95.64811633217471                                 4.2931054168290114E-4
580                                               95.9424781469656                                  5.001389518658277E-4
584                                               96.32078129209408                                 5.511759123450646E-4
588                                               96.59727567575216                                 5.744728487585356E-4
591.9999999999999                                 96.67137757030501                                 5.624883432485666E-4
595.9999999999999                                 96.91010469952306                                 5.834540135102764E-4
600                                               96.95569871764572                                 6.260842117573498E-4
604                                               96.81752796708781                                 6.943156745291433E-4
608                                               96.49159550435321                                 8.050893356298135E-4
612                                               95.91735022789443                                 9.849659689617307E-4
615.9999999999999                                 94.95251499085869                                 0.0012821738315719402
619.9999999999999                                 93.31665155586781                                 0.0017868682235464618
624                                               90.55110127501884                                 0.002648460262282524
628                                               86.5167138302606                                  0.003921201526601231
632                                               84.00656922763838                                 0.004733096933642879
636                                               86.9880543334531                                  0.003775664732494793
639.9999999999999                                 90.98728030744687                                 0.0024128155989516045
643.9999999999999                                 93.58666563262533                                 0.0017297665041707466
648                                               95.6408809612872                                  0.0011707868882109276
652                                               96.81190754319799                                 8.208500974845621E-4
656                                               97.49511662137773                                 6.094741794816337E-4
660                                               97.92053079211558                                 4.7632073369506826E-4
663.9999999999999                                 98.20064710981816                                 3.8888319039532247E-4
667.9999999999999                                 98.39427588235735                                 3.2963332921728014E-4
672                                               98.53262569085422                                 2.887517840198761E-4
676                                               98.6339036377651                                  2.6056774597472374E-4
680                                               98.70865923721517                                 2.4168714626804437E-4
684                                               98.76169903425061                                 2.3010953362079874E-4
687.9999999999999                                 98.78903247925138                                 2.2475458420603923E-4
691.9999999999999                                 98.77834673641375                                 2.25063228126223E-4
696                                               98.81727384606684                                 2.307498675753196E-4
700                                               98.858867488823                                   2.43363694738534E-4
704                                               98.8724407584443                                  2.644967358927391E-4
708                                               98.86598183991036                                 2.971897543956008E-4
711.9999999999999                                 98.8366351264735                                  3.4709986785876913E-4
715.9999999999999                                 98.77261614387824                                 4.2491765664913516E-4
720                                               98.64638944256012                                 5.524206445027348E-4
724                                               98.39116814362345                                 7.795268331148954E-4
728                                               97.81443609818062                                 0.0012417954443923144
732                                               96.20043574906653                                 0.0024180670913747575
735.9999999999999                                 89.40052484932123                                 0.006907507336773258
739.9999999999999                                 54.28753338004755                                 0.026875659739619064
744                                               83.05449183282889                                 0.007904268529668346
748                                               93.47487005905391                                 0.0024490154495099736
